from,to,numIncidents,arrested,ward,arrestDate
M000204,M000463,2,FALSE,5,NA
M000299,M000463,3,FALSE,5,NA
M000740,M000741,1,FALSE,6,NA
M000692,M000788,3,FALSE,3,NA
M000560,M000561,1,FALSE,1,NA
M000346,M000473,2,FALSE,5,NA
M000442,M000443,1,FALSE,4,NA
M000442,M000444,1,FALSE,4,NA
M000443,M000444,1,FALSE,4,NA
M000702,M000703,2,TRUE,2,NA
M000702,M000704,2,TRUE,2,NA
M000703,M000704,1,FALSE,2,NA
M000452,M000453,2,FALSE,1,NA
M000132,M000454,2,FALSE,3,NA
M000341,M000360,2,FALSE,1,NA
M000341,M000361,2,FALSE,1,NA
M000360,M000361,2,FALSE,5,NA
M000084,M000322,2,FALSE,1,NA
M000084,M000323,2,FALSE,1,NA
M000322,M000323,3,FALSE,5,NA
M000001,M000337,5,FALSE,3,NA
M000414,M000415,1,FALSE,6,NA
M000324,M000325,1,FALSE,3,NA
M000011,M000596,3,FALSE,3,NA
M000011,M000597,3,FALSE,3,NA
M000596,M000597,2,FALSE,5,NA
M000379,M000380,1,FALSE,6,NA
M000310,M000377,3,FALSE,6,NA
M000310,M000378,3,FALSE,6,NA
M000377,M000378,1,FALSE,5,NA
M000333,M001702,2,FALSE,4,NA
M000304,M000305,2,FALSE,4,NA
M000445,M000446,1,FALSE,5,NA
M000381,M000382,1,FALSE,4,NA
M001102,M001695,2,TRUE,3,2022/12/03 10:00:00+00
M000483,M000484,1,FALSE,2,NA
M000623,M000624,1,FALSE,6,NA
M000623,M000625,1,FALSE,6,NA
M000624,M000625,1,FALSE,6,NA
M000386,M000387,1,FALSE,3,NA
M000386,M000388,1,FALSE,3,NA
M000387,M000388,1,FALSE,3,NA
M000322,M000332,3,FALSE,5,NA
M000322,M000331,3,FALSE,5,NA
M000332,M000331,2,FALSE,3,NA
M000352,M000835,3,FALSE,2,NA
M000395,M000396,1,FALSE,1,NA
M000395,M000397,1,FALSE,1,NA
M000396,M000397,2,FALSE,1,NA
M000329,M000330,4,TRUE,3,NA
M000329,M000331,4,TRUE,3,NA
M000330,M000331,1,FALSE,3,NA
M000194,M000284,3,FALSE,3,NA
M000194,M000399,3,FALSE,3,NA
M000284,M000399,3,FALSE,6,NA
M000416,M000417,1,FALSE,3,NA
M000321,M000338,2,FALSE,1,NA
M000321,M000339,2,FALSE,1,NA
M000338,M000339,1,FALSE,4,NA
M000222,M000458,4,FALSE,6,NA
M000222,M000634,4,FALSE,6,NA
M000458,M000634,3,FALSE,5,NA
M000448,M000449,1,FALSE,4,NA
M000502,M000503,1,FALSE,6,NA
M000410,M000411,2,FALSE,1,NA
M000056,M000862,2,FALSE,3,NA
M000056,M000863,2,FALSE,3,NA
M000862,M000863,2,FALSE,6,NA
M000457,M000458,1,FALSE,5,NA
M000457,M000459,1,FALSE,5,NA
M000458,M000459,3,FALSE,5,NA
M000455,M000456,1,FALSE,3,NA
M000397,M000364,2,FALSE,1,NA
M000397,M000410,2,FALSE,1,NA
M000397,M000409,2,FALSE,1,NA
M000364,M000410,3,FALSE,5,NA
M000364,M000409,3,FALSE,5,NA
M000410,M000409,2,FALSE,1,NA
M000292,M000415,2,FALSE,1,NA
M000292,M000428,2,FALSE,1,NA
M000415,M000428,2,FALSE,6,NA
M000426,M000427,2,FALSE,4,NA
M000393,M000394,1,FALSE,4,NA
M000368,M000278,2,FALSE,6,NA
M000368,M000496,2,FALSE,6,NA
M000278,M000496,2,FALSE,5,NA
M000816,M000817,1,FALSE,3,NA
M000816,M000818,1,FALSE,3,NA
M000817,M000818,1,FALSE,3,NA
M000255,M000695,5,FALSE,2,NA
M000255,M000694,5,FALSE,2,NA
M000695,M000694,2,FALSE,5,NA
M000255,M000498,5,FALSE,2,NA
M000255,M000499,5,FALSE,2,NA
M000498,M000499,1,FALSE,6,NA
M000023,M000475,4,FALSE,2,NA
M000023,M000476,4,FALSE,2,NA
M000475,M000476,1,FALSE,1,NA
M000198,M000447,5,FALSE,3,NA
M000745,M000746,1,FALSE,3,NA
M000745,M000747,1,FALSE,3,NA
M000746,M000747,1,FALSE,3,NA
M000433,M000434,2,FALSE,6,NA
M000433,M000435,2,FALSE,6,NA
